CUB-(2)								
	s^σ	s^(τ-2)*(P≥s)						
0	1	1	1	1	1	1		
1	1.368124953	1.055496044	1.055489434	1.055344947	1.05575071	1.055476562		
2	1.871765887	1.0992091	1.099291046	1.099157896	1.099411374	1.099735409		
3	2.560809617	1.131950259	1.131773581	1.131683151	1.132467063	1.13260135		
4	3.503507537	1.155027784	1.15463543	1.154912617	1.155147369	1.155929826		
5	4.793236085	1.170139827	1.16957692	1.170504525	1.170592296	1.172023746		
6	6.557745895	1.179729109	1.178546657	1.180463385	1.180931575	1.182657901		
7	8.971815795	1.184638672	1.18364821	1.186818311	1.187143581	1.189507971		
8	12.27456506	1.187297977	1.186782554	1.190329879	1.190915397	1.194329962		
9	16.79313875	1.187829348	1.188432676	1.192403753	1.193581971	1.197589751		
10	22.97511217	1.186408762	1.188419912	1.193777128	1.195815895	1.200879273		
11	31.43282426	1.184353943	1.187314744	1.194640865	1.197713466	1.204682811		
12	43.00403122	1.181011657	1.185491688	1.194916429	1.199590026	1.208280715		
13	58.8348882	1.175547056	1.181898029	1.194956806	1.202371058	1.214327109		
14	80.49347866	1.167418095	1.177599954	1.193936062	1.205634603	1.221399366		
15	110.1251367	1.146634803	1.162594612	1.18314546	1.200450678	1.220993567		
								
								
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^14)-f(2^13)/d(g(2^14)-g(2^13))		
					0.0005295	-0.000375323		
					0.0005296	-0.000198447		
					0.0005297	-4.71288E-05		
					0.0005298	0.000150681		
					0.0005299	0.000326534		
								
CUB-(18)								
	s^σ	s^(τ-2)*(P≥s)						
log_2^(s)		0.000379	0.0003791	0.0003792	0.0003793	0.0003794	0.0003795	
0	1	1	1	1	1	1	1	
1	1.368124953	1.055442365	1.055577404	1.055884554	1.055404943	1.055645494	1.055713941	
2	1.871765887	1.099233993	1.099702716	1.099220545	1.099602996	1.099296469	1.099557774	
3	2.560809617	1.131470824	1.132435929	1.131828761	1.132303515	1.132326122	1.132365019	
4	3.503507537	1.153905643	1.155241034	1.154415573	1.155336025	1.15483309	1.155385959	
5	4.793236085	1.168634061	1.1701065	1.169511322	1.16968593	1.170338192	1.170829329	
6	6.557745895	1.176562739	1.179023515	1.178653157	1.178712491	1.179814951	1.181124631	
7	8.971815795	1.181151521	1.184037537	1.183822613	1.184578668	1.186284973	1.18816478	
8	12.27456506	1.182458517	1.185947648	1.186511063	1.187466255	1.190843011	1.192831519	
9	16.79313875	1.181270743	1.184871367	1.187874437	1.189102321	1.193126265	1.196727813	
10	22.97511217	1.178698717	1.182594863	1.187408506	1.190423095	1.196148389	1.201507316	
11	31.43282426	1.17340373	1.179472398	1.185551525	1.190189647	1.19869195	1.206206267	
12	43.00403122	1.16538442	1.174919352	1.18285168	1.191386915	1.201623735	1.21180469	
13	58.8348882	1.154570421	1.167199805	1.178350229	1.191703915	1.205922142	1.218904401	
14	80.49347866	1.137243771	1.154379942	1.172947761	1.191420024	1.209308033	1.227495336	
15	110.1251367	1.086645154	1.112931991	1.139051398	1.164386475	1.189481897	1.215431093	
								
								
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^14)-f(2^13)/d(g(2^14)-g(2^13))		
					0.000379	-0.00079999		
					0.0003791	-0.000591907		
					0.0003792	-0.000249438		
					0.0003793	-1.31075E-05		
					0.0003794	0.00015633		
					0.0003795	0.000396653		
								
CUB-(20)								
	s^σ	s^(τ-2)*(P≥s)						
log_2^(s)		0.0002806	0.0002807	0.0002808	0.0002809	0.000281	0.0002811	0.0002812
0	1	1	1	1	1	1	1	1
1	1.368124953	1.055048755	1.055645266	1.055310944	1.055351785	1.055456093	1.055500504	1.054949392
2	1.871765887	1.098560865	1.099385495	1.098992651	1.099342708	1.099737491	1.099649379	1.098894007
3	2.560809617	1.131053087	1.131801955	1.131646161	1.131883047	1.132841892	1.132411325	1.132319868
4	3.503507537	1.152649227	1.154279346	1.154417174	1.154847465	1.156418476	1.155555092	1.155986198
5	4.793236085	1.166253828	1.168431705	1.169036041	1.170521705	1.171286573	1.172278186	1.171920271
6	6.557745895	1.174823058	1.17756266	1.178115325	1.17972308	1.18188629	1.182789383	1.184266203
7	8.971815795	1.17862619	1.183225842	1.183592746	1.185933628	1.188940802	1.190739528	1.191525783
8	12.27456506	1.178699388	1.184853571	1.186766408	1.189891171	1.1935525	1.196591749	1.198760381
9	16.79313875	1.177473518	1.184598956	1.187023339	1.192400187	1.197090185	1.20175877	1.205219042
10	22.97511217	1.17338353	1.18256267	1.187233513	1.194359384	1.200183129	1.207539684	1.213011938
11	31.43282426	1.167163193	1.178965804	1.186362882	1.195451089	1.204288208	1.214361421	1.222590415
12	43.00403122	1.157027586	1.173362454	1.184677755	1.196480162	1.209760534	1.223935317	1.235194712
13	58.8348882	1.143560037	1.164528948	1.181027776	1.198334735	1.217160776	1.235209965	1.252446357
14	80.49347866	1.121221579	1.147575018	1.171603098	1.196426782	1.22052774	1.247743351	1.269677705
15	110.1251367	1.03344902	1.070178139	1.105979933	1.140952679	1.175572374	1.212853181	1.246533781
								
								
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^13)-f(2^12)/d(g(2^13)-g(2^12))		
					0.0002806	-0.000850715		
					0.0002807	-0.000557993		
					0.0002808	-0.000230561		
					0.0002809	0.000117149		
					0.000281	0.000467457		
					0.0002811	0.000712194		
					0.0002812	0.001089748		
								
CUB-(22)								
	s^σ	s^(τ-2)*(P≥s)						
log_2^(s)		0.0002136	0.0002137	0.0002138	0.0002139	0.000214	0.0002141	0.0002142
0	1	1	1	1	1	1	1	1
1	1.368124953	1.055501336	1.055293509	1.055072865	1.055857633	1.055594721	1.055560038	1.055685898
2	1.871765887	1.099131739	1.098358339	1.09904511	1.099920099	1.099719356	1.099841165	1.100044139
3	2.560809617	1.131393238	1.130929193	1.131762095	1.133088061	1.133229191	1.133422369	1.133952976
4	3.503507537	1.154124711	1.153754398	1.155056595	1.156481476	1.157013959	1.157264425	1.158554573
5	4.793236085	1.168560699	1.168690594	1.170120992	1.172591585	1.173326629	1.173619349	1.176038973
6	6.557745895	1.177570593	1.177182757	1.180634493	1.183024186	1.185230343	1.186323541	1.18892826
7	8.971815795	1.181788896	1.1816864	1.186284629	1.190826697	1.194572694	1.195328111	1.199440815
8	12.27456506	1.183752315	1.184884119	1.190701225	1.196732675	1.202850933	1.203553088	1.209957255
9	16.79313875	1.183792211	1.186529465	1.19474123	1.200817634	1.21002859	1.212717448	1.219557051
10	22.97511217	1.182540586	1.187885345	1.198878576	1.20710795	1.217125196	1.223104355	1.231270986
11	31.43282426	1.178119164	1.188238112	1.20034962	1.212813212	1.227977302	1.236550164	1.248914262
12	43.00403122	1.171130091	1.18643109	1.203930107	1.22135302	1.240820452	1.253943463	1.27110513
13	58.8348882	1.161971343	1.182586593	1.207057553	1.231298376	1.256956782	1.276515852	1.301178585
14	80.49347866	1.135069807	1.165798478	1.199348553	1.231430369	1.267957476	1.296610844	1.331421188
15	110.1251367	0.990313065	1.036369471	1.086978197	1.133168064	1.187054703	1.230576608	1.282922892
								
								
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^13)-f(2^12)/d(g(2^13)-g(2^12))		
					0.0002136	-0.000578538		
					0.0002137	-0.000242848		
					0.0002138	0.000197554		
					0.0002139	0.000628226		
					0.000214	0.001019296		
					0.0002141	0.001425848		
					0.0002142	0.001899673		
