SC-1										
	s^考	s^(而-2)*(P≡s)								
12	43.00403122	1.033800347	1.062590651	1.090442193	1.118993376	1.147015296	1.175576069	1.203496144	1.231942169	1.260456532
13	58.8348882	0.996347778	1.036056045	1.074491297	1.11407097	1.153053562	1.192322141	1.231173342	1.269839778	1.309576723
14	80.49347866	0.945942329	0.999827413	1.052962584	1.10726457	1.161399991	1.215147449	1.268831168	1.322611935	1.375800184
15	110.1251367	0.877220797	0.950392257	1.023338236	1.097788008	1.172282859	1.24628753	1.319769927	1.39326192	1.466151836
16	150.6649475	0.785996206	0.883811475	0.982822843	1.084482599	1.18719483	1.288739013	1.389367087	1.489145974	1.586917907
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.1358	-0.002250247				
					0.1359	-0.021801075				
					0.136	-0.000999398				
					0.1361	-0.000328206				
					0.1362	0.000367835				
					0.1363	0.001047155				
					0.1364	0.001716761				
					0.1365	0.002365183				
					0.1366	0.00297895				
										
SC-23										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.1034	0.1035	0.1036	0.1037	0.1038	0.1039	0.104	0.1041	0
0	1	1	1	1	1	1	1	1	1	0
1	1.368124953	1.011479541	1.011843841	1.012155704	1.012241452	1.012669677	1.012788889	1.01308589	1.013555965	0
2	1.871765887	1.058143131	1.058801331	1.059527924	1.059948504	1.060710883	1.060956647	1.061660915	1.062625884	0
3	2.560809617	1.093507494	1.094687332	1.095746745	1.096804012	1.097997674	1.099008031	1.10027233	1.101526782	0
4	3.503507537	1.115319528	1.117156942	1.119127625	1.120884629	1.122875381	1.124653542	1.126820497	1.128739318	0
5	4.793236085	1.127638976	1.130416724	1.133631711	1.136715732	1.139545707	1.142277621	1.145252834	1.148752681	0
6	6.557745895	1.13241989	1.136736417	1.14157663	1.146286032	1.150395856	1.154694328	1.159162441	1.164646377	0
7	8.971815795	1.130915605	1.137577326	1.144611744	1.151449719	1.158060272	1.164445763	1.170362018	1.178485731	0
8	12.27456506	1.124030854	1.133769597	1.143636843	1.15341104	1.163212847	1.172248212	1.181457327	1.192185369	0
9	16.79313875	1.111667347	1.125443631	1.139478907	1.153469373	1.167058227	1.180517307	1.192870093	1.208129169	0
10	22.97511217	1.093028975	1.112604443	1.132137354	1.151391157	1.170782075	1.189919348	1.207776225	1.228662664	0
11	31.43282426	1.066370305	1.093565806	1.120941337	1.147374087	1.174374272	1.201375652	1.226610356	1.255248534	0
12	43.00403122	1.029502318	1.067146693	1.105016652	1.141815567	1.179464631	1.217034635	1.252453814	1.291689068	0
13	58.8348882	0.979465688	1.030970789	1.083008805	1.133921648	1.185712856	1.237847822	1.287562966	1.340177743	0
14	80.49347866	0.911729152	0.981450991	1.052810254	1.122637151	1.1938213	1.266069025	1.335344912	1.406583381	0
15	110.1251367	0.821074152	0.914624027	1.011436897	1.107392777	1.205296989	1.304345203	1.399894554	1.496582765	0
16	150.6649475	0.702574165	0.825426724	0.955343794	1.086740342	1.221488723	1.357061265	1.487070308	1.61748167	0
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.1034	-0.002923052				
					0.1035	-0.020360892				
					0.1036	-0.001383655				
					0.1037	-0.000509436				
					0.1038	0.000399403				
					0.1039	0.001300353				
					0.104	0.002150374				
					0.1041	0.002982227				
					0	0				
										
SC-123										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.09761	0.09762	0.09763	0.09764	0.09765	0.09766			
0	1	1	1	1	1	1	1			
1	1.368124953	1.060944958	1.061173429	1.061381017	1.061213226	1.061219611	1.061332888			
2	1.871765887	1.106966901	1.107373328	1.107248237	1.107151843	1.107313119	1.107420388			
3	2.560809617	1.139934284	1.140518775	1.1402239	1.140389398	1.14060864	1.140980965			
