BCC-1										
	s^σ	s^(τ-2)*(P≥s)								
7	8.971815795	1.181782568	1.182345504	1.182815227	1.183552002	1.185476582				
8	12.27456506	1.184222177	1.184644464	1.186055939	1.186850552	1.188943434				
9	16.79313875	1.184851612	1.186274932	1.187417685	1.188750293	1.191820996				
10	22.97511217	1.184232496	1.186871662	1.187877595	1.190216667	1.193757094				
11	31.43282426	1.183440517	1.186113353	1.188136556	1.19232436	1.196331272				
12	43.00403122	1.181566236	1.185651626	1.188979401	1.194217084	1.199724505				
13	58.8348882	1.178963505	1.185261997	1.189498914	1.196472428	1.203336614				
14	80.49347866	1.174095572	1.183642022	1.189896333	1.199135229	1.207280447				
15	110.1251367	1.168662264	1.181462988	1.190559774	1.201884621	1.213210879				
16	150.6649475	1.161809907	1.177847597	1.191892619	1.206356205	1.222866132				
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.09589	-0.000169028				
					0.0959	-0.029054097				
					0.09591	3.28774E-05				
					0.09592	0.000110301				
					0.09593	0.000238167				
										
BCC-4										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.07121	0.07122	0.07123	0.07124	0.07125	0.07126	0.07127	0.07128	0.07129
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	0.94645919	0.946457865	0.946519688	0.946545504	0.946676007	0.946897322	0.946824205	0.946874108	0.946850467
2	1.871765887	0.958247384	0.958512917	0.958578932	0.958611849	0.958786045	0.95907547	0.958967973	0.959213031	0.959190346
3	2.560809617	0.983040303	0.983365139	0.983467855	0.983579201	0.983862839	0.984150772	0.984196615	0.984391999	0.984416815
4	3.503507537	1.005770799	1.006355061	1.006601993	1.006869935	1.007295127	1.007514847	1.007778083	1.007916742	1.008127678
5	4.793236085	1.02192488	1.022723779	1.023265104	1.023668111	1.023975513	1.024484615	1.025297229	1.025352401	1.025546732
6	6.557745895	1.032970191	1.033623577	1.034512292	1.035311612	1.035673563	1.03644904	1.037224352	1.03788455	1.03836312
7	8.971815795	1.039834426	1.040883814	1.041885178	1.042936674	1.043785818	1.044437648	1.0458313	1.04666946	1.047329883
8	12.27456506	1.043379628	1.044992635	1.046188849	1.047732455	1.049189494	1.050094996	1.05171941	1.053148839	1.054126878
9	16.79313875	1.044630775	1.047102131	1.048967454	1.050571055	1.052408084	1.054127844	1.056432992	1.057838233	1.059520291
10	22.97511217	1.044078441	1.047684451	1.050059788	1.052358343	1.05503128	1.056984357	1.060350795	1.062184972	1.064507247
11	31.43282426	1.041398377	1.046219782	1.049816475	1.053230088	1.057037006	1.059856427	1.064077024	1.067119386	1.070342339
12	43.00403122	1.037814093	1.043284206	1.048569021	1.053565512	1.058465147	1.062662259	1.068381946	1.072941179	1.077753282
13	58.8348882	1.032083822	1.039528784	1.04685742	1.053462683	1.060264269	1.066225577	1.074294032	1.079995293	1.086913294
14	80.49347866	1.024228796	1.034063945	1.043778462	1.053267741	1.062391407	1.070593888	1.081771581	1.089723451	1.099374702
15	110.1251367	1.013188747	1.026380956	1.039683131	1.052625051	1.065102142	1.077177026	1.091441974	1.102951088	1.116319204
16	150.6649475	0.99729225	1.015237556	1.033608192	1.051295272	1.06885759	1.084976683	1.104316082	1.121076249	1.13890212
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.07121	-0.000392121				
					0.07122	-0.025042977				
					0.07123	-0.000149851				
					0.07124	-3.28018E-05				
					0.07125	9.2636E-05				
					0.07126	0.000192395				
					0.07127	0.000317567				
					0.07128	0.000447095				
					0.07129	0.000557055				
										
BCC-14										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.06269	0.0627	0.06271	0.06272	0.06273	0.06274	0.06275	0.06276	0.06277
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	0.99651007	0.996359522	0.996411608	0.99631834	0.996543806	0.996397995	0.996523369	0.996836719	0.996607929
2	1.871765887	1.050508964	1.050498617	1.050538845	1.050459267	1.050695042	1.050763467	1.050933792	1.051228956	1.050998623
3	2.560809617	1.085446143	1.085526112	1.085642507	1.085521384	1.085650824	1.086056433	1.086180505	1.086967949	1.086518424
4	3.503507537	1.10959017	1.109706371	1.109859239	1.109789736	1.110509061	1.110821732	1.111239347	1.111960035	1.111653476
5	4.793236085	1.125375533	1.125789832	1.126247339	1.126242576	1.127064238	1.12746825	1.128424682	1.129370363	1.12870577
6	6.557745895	1.135337038	1.135825076	1.136314484	1.137000853	1.138066289	1.138789331	1.139547608	1.140817033	1.1406641
7	8.971815795	1.140655016	1.141346513	1.142450593	1.14372757	1.144626389	1.145962943	1.147433379	1.148363313	1.148807061
8	12.27456506	1.142781598	1.143705493	1.145569363	1.147192962	1.148432446	1.150183323	1.152549825	1.153200273	1.154738737
9	16.79313875	1.142660077	1.143964958	1.146227895	1.148464733	1.150847206	1.152805643	1.155782856	1.157631785	1.159062743
10	22.97511217	1.140173812	1.142669747	1.1454936	1.148419486	1.151563806	1.154110298	1.158453385	1.161368428	1.163541988
11	31.43282426	1.135484963	1.139325094	1.14334222	1.147592595	1.151956819	1.15569577	1.161088721	1.165601296	1.168847845
12	43.00403122	1.127715784	1.133930056	1.139330173	1.145662394	1.151624379	1.157048481	1.163972064	1.170002901	1.175021282
13	58.8348882	1.117901823	1.125783741	1.13398323	1.142922198	1.150707809	1.158596943	1.167482062	1.175691504	1.18288795
14	80.49347866	1.104114592	1.115299338	1.126157185	1.138742272	1.149132574	1.160543401	1.172402578	1.18352415	1.194159562
15	110.1251367	1.08528704	1.100547682	1.115984027	1.132565739	1.147968931	1.162647994	1.178762143	1.194463311	1.2094421
16	150.6649475	1.060574018	1.080688134	1.101747385	1.124241737	1.144549081	1.165431092	1.188101622	1.209229422	1.229592483
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.06269	-0.000609599				
					0.0627	-0.026657454				
					0.06271	-0.000351177				
