FCC-1										
	s^σ	s^(τ-2)*(P≥s)								
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.06601	0.06602	0.06603	0.06604	0.06605	0.06606	0.06607	0.06608	0.06609
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.042364879	1.042323665	1.042593601	1.04253163	1.042677859	1.042734795	1.042520187	1.042629228	1.042810289
2	1.871765887	1.090564045	1.090626283	1.090880574	1.090948433	1.091116625	1.091438419	1.091219816	1.091095005	1.091351943
3	2.560809617	1.124011644	1.124254064	1.124577854	1.124561252	1.125021945	1.125186842	1.125201485	1.124859638	1.125696502
4	3.503507537	1.146782679	1.146466271	1.147586916	1.147507987	1.148141301	1.147987356	1.148275863	1.148490587	1.149002678
5	4.793236085	1.160967351	1.160301981	1.161606864	1.162564505	1.163206996	1.162811533	1.163524866	1.163813863	1.164443385
6	6.557745895	1.168541459	1.168458495	1.170513035	1.17076477	1.172430921	1.171877397	1.172917894	1.173420509	1.174393608
7	8.971815795	1.172084167	1.172241605	1.174838955	1.174960669	1.177883695	1.176702374	1.178410994	1.179280544	1.180546612
8	12.27456506	1.171988287	1.172481191	1.175806849	1.17629181	1.179796027	1.179417937	1.18102099	1.181871262	1.183877469
9	16.79313875	1.169044225	1.170236772	1.17471179	1.175380963	1.179492501	1.180307628	1.182310178	1.183161157	1.185884534
10	22.97511217	1.163771744	1.166159169	1.171796215	1.171929695	1.177844363	1.179411598	1.181935882	1.183870063	1.187489327
11	31.43282426	1.15569637	1.159752619	1.16588068	1.166952912	1.174201659	1.177094857	1.180772632	1.183783637	1.188941566
12	43.00403122	1.143826074	1.149794065	1.15760162	1.16019913	1.168882451	1.173289315	1.178894368	1.183276939	1.190177447
13	58.8348882	1.126918053	1.135722997	1.145568656	1.151831564	1.161389087	1.168336937	1.175704738	1.182087549	1.191678717
14	80.49347866	1.104440484	1.116158541	1.129830044	1.138537548	1.15111674	1.161009413	1.171410424	1.180758155	1.194023766
15	110.1251367	1.074368421	1.089389665	1.106637759	1.119527787	1.136897806	1.151076314	1.165577973	1.179394281	1.196366293
16	150.6649475	1.032695786	1.052531291	1.075702586	1.094728399	1.117353127	1.136841878	1.157519064	1.176888511	1.199989424
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.06601	-0.001027944				
					0.06602	-0.025962906				
					0.06603	-0.000763081				
					0.06604	-0.000611729				
					0.06605	-0.000482111				
					0.06606	-0.000351122				
					0.06607	-0.00019879				
					0.06608	-6.18101E-05				
					0.06609	8.93722E-05				
										
FCC-23										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.06884	0.06885	0.06886	0.06887	0.06888	0.06889	0.0689	0.06891	0.06892
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.005960721	1.005988704	1.005726263	1.005845864	1.005928096	1.005482146	1.00566457	1.005866422	1.006055548
2	1.871765887	1.03573854	1.036024793	1.035634213	1.036004335	1.036335149	1.035967378	1.035656138	1.035971885	1.036667507
3	2.560809617	1.068033072	1.068003585	1.068169699	1.068741897	1.068909397	1.06954754	1.068580563	1.068787112	1.069593586
4	3.503507537	1.090736336	1.091612605	1.09147926	1.092162592	1.092304341	1.092952172	1.091924278	1.092167278	1.093351592
5	4.793236085	1.106228102	1.106542352	1.106726304	1.107821303	1.107856026	1.109057982	1.107673252	1.108176547	1.109543852
6	6.557745895	1.114925055	1.115998347	1.116275044	1.117594649	1.118055965	1.119587594	1.118140355	1.11888877	1.121105449
7	8.971815795	1.12037733	1.121509586	1.122024248	1.123845336	1.124914504	1.125494216	1.125221634	1.125778865	1.128947359
8	12.27456506	1.12342135	1.12414245	1.125495693	1.127383524	1.129053529	1.130325819	1.129849146	1.131032207	1.135545477
9	16.79313875	1.123303806	1.124846522	1.126192891	1.130092342	1.131014931	1.133029287	1.132883847	1.135481253	1.140041778
10	22.97511217	1.121627292	1.123794325	1.12707562	1.130586118	1.132355342	1.135366625	1.136782813	1.139730541	1.145834661
11	31.43282426	1.117863434	1.120992851	1.125897286	1.130813829	1.13274282	1.13760634	1.139997686	1.144633379	1.151351902
12	43.00403122	1.113764216	1.117277446	1.124377431	1.131233301	1.134782567	1.140851745	1.144267011	1.149363968	1.158359357
13	58.8348882	1.105477013	1.112328368	1.121865599	1.129505622	1.135388245	1.145751416	1.149105114	1.157329973	1.168543316
14	80.49347866	1.095889823	1.10522519	1.118341235	1.130587838	1.13866663	1.150867343	1.157050949	1.167745937	1.181403977
15	110.1251367	1.082090099	1.095749552	1.111971336	1.127527672	1.138980661	1.156519133	1.165434322	1.181410691	1.199478981
16	150.6649475	1.064621441	1.083730017	1.102887188	1.124895748	1.140927141	1.164313783	1.179284211	1.200762622	1.223837721
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.06884	-0.000430901				
					0.06885	-0.026732488				
					0.06886	-0.00022408				
					0.06887	-6.4922E-05				
					0.06888	4.8014E-05				
					0.06889	0.000192271				
					0.0689	0.000341637				
					0.06891	0.000477356				
					0.06892	0.00060086				
										
FCC-123										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.06186	0.06187	0.06188	0.06189	0.0619	0.06191			
0	1	1	1	1	1	1	1			
1	1.368124953	1.062226911	1.062174305	1.061885923	1.062066351	1.062290383	1.062075496			
2	1.871765887	1.109454701	1.109684391	1.109332297	1.109553503	1.109974794	1.109892031			
3	2.560809617	1.142601511	1.142813697	1.142523434	1.143305119	1.143525738	1.143545702			
4	3.503507537	1.164660926	1.16479213	1.164679132	1.165293308	1.166210791	1.166210131			
5	4.793236085	1.178551174	1.178303886	1.178489551	1.179661358	1.180126379	1.180823655			
6	6.557745895	1.186532406	1.187128372	1.186998548	1.188723212	1.189187895	1.19017517			
7	8.971815795	1.190915449	1.191445529	1.191822031	1.193959731	1.195006742	1.196352677			
8	12.27456506	1.192571367	1.193676183	1.194515666	1.197206424	1.198355048	1.20042691			
9	16.79313875	1.192419204	1.194016536	1.196001645	1.199487024	1.20107431	1.203679296			
10	22.97511217	1.191402146	1.192787082	1.196343855	1.201121191	1.203023147	1.206684569			
11	31.43282426	1.188468963	1.191506782	1.196413706	1.201681388	1.20595702	1.210488165			
12	43.00403122	1.184642244	1.18898789	1.195927618	1.203092951	1.208903964	1.214779819			
13	58.8348882	1.178756054	1.185786905	1.195130829	1.204878239	1.212732298	1.221086335			
14	80.49347866	1.170216141	1.181025546	1.193564065	1.20649343	1.217393516	1.229225675			
15	110.1251367	1.159139398	1.174164653	1.191181353	1.208103927	1.223954773	1.240526275			
16	150.6649475	1.144224875	1.165121983	1.188153114	1.211433976	1.233817021	1.25680011			
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.06186	-0.000367898				
					0.06187	-0.028740193				
					0.06188	-7.46979E-05				
					0.06189	8.21427E-05				
					0.0619	0.000243273				
					0.06191	0.000401429				
										
FCC-4										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.199	0.1991	0.1992	0.1993	0.1994				
0	1	1	1	1	1	1				
1	1.368124953	1.060598511	1.060524891	1.06051729	1.060778918	1.061085871				
2	1.871765887	1.108797672	1.108953013	1.109113509	1.109597196	1.110037586				
3	2.560809617	1.140467876	1.141276805	1.141635832	1.142286103	1.143214291				
4	3.503507537	1.160325305	1.161500208	1.162349494	1.163327279	1.165121719				
5	4.793236085	1.171554028	1.172911427	1.175081525	1.176138699	1.178756874				
6	6.557745895	1.17650532	1.179378729	1.182276987	1.184212037	1.187676952				
7	8.971815795	1.177744589	1.181662284	1.186504812	1.189278099	1.193864976				
8	12.27456506	1.176433326	1.181800679	1.188156064	1.192238201	1.199007441				
9	16.79313875	1.171983837	1.17986916	1.188050397	1.194836664	1.203957381				
10	22.97511217	1.165030379	1.175878247	1.187688633	1.197227135	1.209719008				
11	31.43282426	1.153925927	1.169943556	1.186231319	1.200373643	1.216909008				
12	43.00403122	1.13937624	1.161372511	1.184618484	1.204448803	1.227231646				
13	58.8348882	1.119612296	1.150054231	1.181163519	1.209745682	1.24102382				
14	80.49347866	1.092532983	1.135137702	1.177740344	1.216768301	1.259603556				
15	110.1251367	1.056077096	1.113693932	1.172428219	1.226549232	1.28497755				
16	150.6649475	1.006008426	1.084555325	1.164464744	1.24037942	1.319831987				
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.199	-0.001235049				
					0.1991	-0.026752846				
					0.1992	-0.000196436				
					0.1993	0.000341151				
					0.1994	0.000859758				
										
FCC-14										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.08551	0.08552	0.08553	0.08554	0.08555	0.08556	0.08557	0.08558	0.08559
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.006784588	1.006441024	1.006580389	1.006768917	1.00684158	1.006700997	1.006685956	1.006790759	1.006895336
2	1.871765887	1.029061991	1.028649384	1.029132353	1.029021946	1.029163401	1.029291921	1.029244873	1.029269139	1.029492323
3	2.560809617	1.051503101	1.051137607	1.051780395	1.051380515	1.051885051	1.05219556	1.052146601	1.052072933	1.052357598
4	3.503507537	1.069649785	1.069135189	1.069775295	1.069535536	1.070165353	1.070477842	1.070715716	1.070860317	1.070886547
5	4.793236085	1.082394853	1.081667173	1.082790573	1.082480219	1.083508736	1.083691595	1.084107865	1.084500025	1.08447499
6	6.557745895	1.090519184	1.090239681	1.091395066	1.091419515	1.09244248	1.092526525	1.093711841	1.094385069	1.094183108
7	8.971815795	1.095782814	1.095452573	1.097252583	1.097120923	1.098481847	1.098633093	1.100028086	1.100945962	1.101028432
8	12.27456506	1.09811535	1.097908557	1.100080359	1.100159942	1.10234797	1.102777343	1.104406201	1.105810781	1.106201529
9	16.79313875	1.098570175	1.098324813	1.101434023	1.1019194	1.104172832	1.105462905	1.10765367	1.109764235	1.110308944
10	22.97511217	1.096800172	1.097708786	1.100878844	1.102433931	1.105519978	1.107126745	1.110066432	1.11281024	1.114283174
11	31.43282426	1.093908049	1.09582988	1.099542632	1.102239346	1.106200858	1.108578152	1.111999424	1.11589493	1.118389251
12	43.00403122	1.089281425	1.092104871	1.097075217	1.100741929	1.106157602	1.109732725	1.114658028	1.119035697	1.12337543
13	58.8348882	1.081944116	1.086871313	1.093758331	1.098917205	1.106246639	1.111177668	1.117723669	1.123919884	1.129734694
14	80.49347866	1.072828454	1.079670905	1.088706176	1.096643466	1.106100533	1.112886886	1.121827193	1.130209059	1.13846529
15	110.1251367	1.059447661	1.069626542	1.081808944	1.092590448	1.104402001	1.114958929	1.12745477	1.138727633	1.150027826
16	150.6649475	1.040902843	1.055774025	1.071547278	1.087897296	1.102758502	1.117939403	1.135031479	1.150278097	1.165603783
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.08551	-0.000457447				
					0.08552	-0.026042895				
					0.08553	-0.000253126				
					0.08554	-0.000115767				
					0.08555	-4.05404E-05				
					0.08556	7.35197E-05				
					0.08557	0.000186896				
					0.08558	0.000284917				
					0.08559	0.000384214				
										
FCC-24										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.137	0.1371	0.1372	0.1373	0.1374	0.1375	0.1376		
0	1	1	1	1	1	1	1	1		
1	1.368124953	1.060452869	1.059698366	1.059953988	1.060190363	1.060364481	1.060536919	1.06051074		
2	1.871765887	1.107878847	1.106991858	1.10769207	1.108272886	1.108517283	1.109170636	1.109477502		
3	2.560809617	1.139620323	1.139054524	1.14018069	1.141195965	1.142096251	1.142951412	1.143522099		
4	3.503507537	1.159468238	1.15908796	1.160886832	1.16250442	1.163996977	1.165603467	1.166786585		
5	4.793236085	1.16928131	1.170616653	1.173215953	1.175481163	1.178216243	1.180597362	1.182598669		
6	6.557745895	1.173191578	1.176109734	1.180306847	1.18322157	1.187633405	1.190997332	1.194025392		
7	8.971815795	1.171961389	1.177440747	1.182797773	1.187725447	1.19382688	1.19878904	1.203759512		
8	12.27456506	1.167847492	1.174813328	1.182728193	1.190028736	1.198578807	1.206139126	1.213782755		
9	16.79313875	1.159010651	1.169549889	1.180812424	1.191251368	1.203066714	1.21379162	1.224826031		
10	22.97511217	1.145681103	1.160742116	1.17694018	1.191754428	1.20804932	1.223324576	1.23889152		
11	31.43282426	1.131868227	1.148277634	1.170582931	1.19167103	1.213806406	1.235686667	1.257070411		
12	43.00403122	1.106678084	1.130660331	1.16130258	1.191214501	1.221650744	1.252251628	1.281983303		
13	58.8348882	1.072529771	1.106930657	1.14974122	1.190424941	1.232592966	1.274829415	1.315794531		
14	80.49347866	1.027604958	1.074690469	1.132972613	1.189730497	1.247519116	1.305898818	1.362768556		
15	110.1251367	0.96214678	1.030714076	1.11048432	1.188877882	1.268311446	1.34836361	1.426415155		
16	150.6649475	0.873530281	0.971391206	1.080072615	1.187636255	1.296554956	1.40587372	1.512424585		
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.137	-0.002185913				
					0.1371	-0.023961414				
					0.1372	-0.000750169				
					0.1373	-3.06273E-05				
					0.1374	0.000696686				
					0.1375	0.001418608				
					0.1376	0.002121604				
										
FCC-34										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.05531	0.05532	0.05533	0.05534	0.05535	0.05536			
0	1	1	1	1	1	1	1			
1	1.368124953	0.992850716	0.99263369	0.992961154	0.993266099	0.99325945	0.9933999			
2	1.871765887	1.028865753	1.028001698	1.02895166	1.029377434	1.02943984	1.029386468			
3	2.560809617	1.064080897	1.063268648	1.06433206	1.064982607	1.064871287	1.065046284			
4	3.503507537	1.088119439	1.087417441	1.088735698	1.089391886	1.089669877	1.089571241			
5	4.793236085	1.103685812	1.103349677	1.105313123	1.105745325	1.106536611	1.106231918			
6	6.557745895	1.113758108	1.113670782	1.11579914	1.116644689	1.117702558	1.117728196			
7	8.971815795	1.119787603	1.119874882	1.122267211	1.123316609	1.125404004	1.125626512			
8	12.27456506	1.122675354	1.1233335	1.126509779	1.127630365	1.130413052	1.131277758			
9	16.79313875	1.12313533	1.124846239	1.128953343	1.130336241	1.134018851	1.13524418			
10	22.97511217	1.122099153	1.12427456	1.12968252	1.132606133	1.137367511	1.138908281			
11	31.43282426	1.119162684	1.123241234	1.129998664	1.134307487	1.139690452	1.142916006			
12	43.00403122	1.115444223	1.121384016	1.129530832	1.135529099	1.143014098	1.148072819			
13	58.8348882	1.108991369	1.117663721	1.128941508	1.136121382	1.146803396	1.154502397			
14	80.49347866	1.099971264	1.112092037	1.125845556	1.137879708	1.151040383	1.163363517			
15	110.1251367	1.086937859	1.104319413	1.122841467	1.139416523	1.15730246	1.174793861			
16	150.6649475	1.070520188	1.094276836	1.118756374	1.142019139	1.166252477	1.190445915			
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.05531	-0.000404977				
					0.05532	-0.026992648				
